AntiLa         Centrality:0-10
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           2.50001        0.356237       6.50471        0.242487       0.33964        4              8.05372        
0.75           2.37061        0.3858         5.96149        0.206527       0.632756       4              7.59941        
0.85           2.35628        0.814976       5.39862        0.480103       0.758758       4              7.22271        
0.95           2.26452        1.03312        5.11211        0.869347       1.03221        4              7.08168        
1.05           2.19091        1.00616        3.49497        0.803858       1.1797         4              6.00543        
1.15           2.32084        1.16781        2.94997        0.871762       1.16857        4              5.79464        
1.3            2.29544        1.42674        1.38574        0.397424       1.28419        4              5.19923        
1.5            2.39374        1.40317        0.793603       0.0595765      1.20473        4              5.07776        
1.7            1.89793        1.17352        0.474792       0.06723        0.839353       4              4.68121        
1.9            1.09253        0.694597       0.354336       0.115936       1.1838         4              4.38366        
2.1            0.622839       0.430343       0.51373        0.167947       0.893999       4              4.20291        
2.3            0.213267       0.348104       0.780709       0.206019       1.50395        4              4.36812        
2.5            0.077158       0.308652       1.01805        0.217826       1.45495        4              4.3934         
2.7            0.0205933      0.505215       1.04107        0.165454       1.26213        4              4.35429        
3              0.0197601      0.6256         1.71468        0.149691       1.45964        4              4.63518        
3.45           0.0233908      0.869916       0.921706       0.170156       1.46298        4              4.44703        
3.95           0.020203       0.625875       2.46724        0.16088        1.14812        4              4.88093        
4.6            0              0.387194       2.53711        0.162585       1.38291        4              4.95234        
5.5            0              0.476103       1.13457        0.215173       1.15103        4              4.3457         
7              0              1.23138        2.44126        0.578352       2.94882        4              5.70141        
10             0              0.575955       0              1.07177        2.04352        4              4.65364        
